question|total_answers|min_score|mean_score|max_score
Здравствуйте. Как пройти обучающие видео по программе?|4|0.30047223|0.32040978223085403|0.33380473
добрый день, реально вернуть действия на 1 шаг назад? если случайно удалила статистику|4|0.38215524|0.3994826078414917|0.40783095
Подскажите мы запрашивали тариф для нашей организации менеджер пообещал вернуться с обратной связью|4|0.3744133|0.3940374404191971|0.4168409
Если мне необходима консультация, чтобы понять насколько ваш сервис подходит для нашей компании, что мне необходимо сделать?)|4|0.35672995|0.37845369428396225|0.39661527
Здравствуйте , задачи с гугл календаря попадают только в календарь,??|4|0.2667149|0.32774441689252853|0.3718248
Как мне изменить статус заявки из согласованной в оплаченную если вся сумма уже оплачена?|4|0.29225877|0.3248913809657097|0.3656459
Подскажите пожалуйста, где можно отключить уведомления на почту..? кто-нибудь начинает добавлять задачи у меня завал на почте|4|0.32598847|0.35753283649683|0.37361872
Просьба подсказать, как можно поменять почту у действующего сотрудника в Платрум, чтобы ему повторно не проходить курсы.|4|0.34778562|0.35709618031978607|0.36640868
Здравствуйте, как можно добавить видео с хостинга Vimeo в обучение?|4|0.285163|0.3240867555141449|0.3500982
Пишу правильный ответ на текст, пишет допустили ошибку|4|0.39057362|0.4074087291955948|0.41810572
есть ли возможность загрузить в Platrum опросник 360 для прохождения анонимного опроса всеми сотрудниками компании использующими в работе программу.|4|0.3288688|0.3420042246580124|0.35575864
Как вставить тесты и практические задания в обучающий курс?|4|0.25782868|0.2680234760046005|0.27386954
Подскажите, как пересдать экзамен, если есть неверные ответы?|4|0.33364898|0.37683362513780594|0.4080101
Менеджеры могут и писать курс и проходить его потом?|4|0.2985811|0.3228725865483284|0.34732974
Подскажите, пожалуйста, как перенести статью из папки в папку|4|0.3663802|0.3997965008020401|0.412038
Подскажите, возможно ли в текстовом редакторе внутри базы знаний сделать картинку- полоску для разделения текста.|4|0.28818974|0.31076066195964813|0.33698815
новости в компании каждый сотрудник может публиковать?|4|0.33973664|0.35217081010341644|0.3752374
Здравствуйте есть api на бронирование?|4|0.29585466|0.37576883286237717|0.4050262
как добавить права сотруднику и какие чтоб он мог делать курсы и выставлять их|4|0.24069872|0.2625596672296524|0.2861768
Работает ли Платрум в Азербайджане?|4|0.3474572|0.3695114478468895|0.38496888
в БП есть опция отмены создания БП?|4|0.4014269|0.4072030410170555|0.41199753
есть ли у БП параметр успешности\неуспешности закрытия? Н-р, при выборе одного селекта + завершить БП будет помечен как успешно закрытый, другого + завершить - как неуспешно закрытый.|4|0.41053188|0.41650623083114624|0.4223835
как сделать чтоб сотрудник мог видеть и вносить суммы в расходах и доходах только своей кассы и типов его отдела|4|0.2828468|0.2898687794804573|0.29798272
Как создать виджет в дашбоорд?|4|0.24547485|0.3123532086610794|0.33752286
работает ли Platrum в Китае?|4|0.38682663|0.39786744117736816|0.41245705
где я могу получить информацию о том,что такое Программа обучения и как с ней работать?|4|0.32069874|0.3294428214430809|0.33860603
Где могу посмотреть удаленные статьи на платрум?|4|0.34861794|0.3664567843079567|0.37920177
как мне скопировать ссылку так, чтобы при открытии открылся сразу нужный заголовк?|4|0.38716832|0.39649704843759537|0.40459412
Подскажите, пожалусйта, как удалить демо-данные по метрикам|4|0.3198271|0.3530185744166374|0.3885882
мы можем перенести влю базу знаний на другой аккаунт?|4|0.33092046|0.34447021037340164|0.36127633
Скажите, есть возможность в P&L отчете в формулах учитывать проценты?|4|0.30533713|0.34482768177986145|0.3758608
в каком из инструментов планирования задач мне будет удобней всего отслеживать именно просроченные задачи - чтобы они подсвечивались красным например|4|0.26814616|0.30515896528959274|0.34105426
орг структуру внутри статьи нарисовать можно?|4|0.33613145|0.3467229753732681|0.35773098
как сохранить работу над ошибками?|4|0.38665962|0.39557860791683197|0.40700203
В карточку задачи скриншот по принципу ctrl+v вставить не получится?|4|0.33498618|0.3452593609690666|0.35216078
почему я не вижу доступных курсов в разделе Академия?|4|0.30102912|0.3130114898085594|0.32534748
можно ли секции в оргсхеме менять местами?|4|0.35080278|0.36823853850364685|0.37953913
можно как-то, чтоб метрики не удалять, а в архив отправлять?|4|0.3123075|0.3421400859951973|0.38733712
может ли один курс быть в разных программах?|4|0.33638278|0.36878543347120285|0.39273447
шаблон на 7 управленний доступен только после оплаты?|4|0.30825686|0.33763229101896286|0.35418594
Забыл пароль. Как восстановить?|4|0.36404204|0.3861333131790161|0.4017545
Как передать метрики?|4|0.24819608|0.3045356683433056|0.37572154
Как добавить сотрудника?|4|0.20880641|0.2696159966289997|0.3074956
Как выдать доступы сотруднику?|4|0.27659237|0.3117169067263603|0.33413088
Ваша учетная запись отключена - почему и что делать?|4|0.37998116|0.3915255218744278|0.4039883
Как распечатать структуру?|4|0.25541243|0.3148099482059479|0.35913888
Пропали метрики после смены структуры, как вернуть?|4|0.3588342|0.3934236392378807|0.44316465
Как заполнить метрики за предыдущие периоды?|4|0.2781567|0.31291045248508453|0.356462
Как восстановить пароль?|4|0.35265064|0.38176075369119644|0.40599483
Как восстановить удаленную статью?|4|0.39463812|0.40578725188970566|0.41047072
Как добавить на должность сотрудника?|4|0.20993564|0.24574748426675797|0.26249415
